"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"DT_ELEICAO";"DS_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"CD_TIPO_SECAO_AGREGADA";"DS_TIPO_SECAO_AGREGADA";"NR_SECAO_PRINCIPAL";"NR_LOCAL_VOTACAO";"NM_LOCAL_VOTACAO";"CD_TIPO_LOCAL";"DS_TIPO_LOCAL";"DS_ENDERECO";"NM_BAIRRO";"NR_CEP";"NR_TELEFONE_LOCAL";"NR_LATITUDE";"NR_LONGITUDE";"CD_SITU_LOCAL_VOTACAO";"DS_SITU_LOCAL_VOTACAO";"CD_SITU_ZONA";"DS_SITU_ZONA";"CD_SITU_SECAO";"DS_SITU_SECAO";"CD_SITU_LOCALIDADE";"DS_SITU_LOCALIDADE";"CD_SITU_SECAO_ACESSIBILIDADE";"DS_SITU_SECAO_ACESSIBILIDADE";"QT_ELEITOR_SECAO";"QT_ELEITOR_ELEICAO_FEDERAL";"QT_ELEITOR_ELEICAO_ESTADUAL";"QT_ELEITOR_ELEICAO_MUNICIPAL";"NR_LOCAL_VOTACAO_ORIGINAL";"NM_LOCAL_VOTACAO_ORIGINAL";"DS_ENDERECO_LOCVT_ORIGINAL"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30112";"MIAMI";1;3799;2;"Agregada";210;1058;"MIAMI DADE COLLEGE - KENDALL CAMPUS";1;"Convencional";"11011 SW 104TH STREET - MIAMI, FL33176 BUILDING R  BUILDING 9";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";400;0;0;0;1120;"MIAMI DADE COLLEGE - KENDALL CAMPUS";"11011 SW 104TH STREET - MIAMI, FL 33176 BUILDING R  BUILDING 9"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"99511";"MARSELHA";1;3747;1;"Principal";-1;1015;"CONSULADO-GERAL DO BRASIL EM MARSELHA";1;"Convencional";"56 AVENUE ROBERT SCHUMAN, 3 ANDAR, 13002 - MARSELHA, FRANÇA";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";398;398;0;0;1015;"CONSULADO-GERAL DO BRASIL EM MARSELHA";"56 AVENUE ROBERT SCHUMAN, 3 ANDAR, 13002 - MARSELHA, FRANÇA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29416";"BOSTON";1;1225;1;"Principal";-1;1112;"BARNSTABLE HIGH SCHOOL";1;"Convencional";"744 W MAIN ST, HYANNIS, MA 02601";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";391;782;0;0;1112;"BARNSTABLE HIGH SCHOOL";"744 W MAIN ST, HYANNIS, MA 02601"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29289";"AMÃ";1;1932;1;"Principal";-1;1015;"EMBAIXADA DO BRASIL EM AMÃ";1;"Convencional";"17, SULEIMAN YOUSIF SUKKAR ST, ABDOUN, AMÃ, REINO HAXEMITA DA JORDÂNIA";"JORDÂNIA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";374;747;0;0;1015;"EMBAIXADA DO BRASIL EM AMÃ";"17, SULEIMAN YOUSIF SUKKAR ST, ABDOUN, AMÃ, REINO HAXEMITA DA JORDÂNIA"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"39080";"ATLANTA";1;3138;2;"Agregada";593;1015;"EAGLES ARENA";1;"Convencional";"6616 NEW PEACHTREE RD, DORAVILLE, GA - 30340";"ATLANTA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";395;0;0;0;1015;"EAGLES ARENA";"6616 NEW PEACHTREE RD, DORAVILLE, GA - 30340"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30112";"MIAMI";1;3754;2;"Agregada";217;1058;"MIAMI DADE COLLEGE - KENDALL CAMPUS";1;"Convencional";"11011 SW 104TH STREET - MIAMI, FL33176 BUILDING R  BUILDING 9";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";400;0;0;0;1058;"MIAMI DADE COLLEGE - KENDALL CAMPUS";"11011 SW 104TH STREET - MIAMI, FL33176 BUILDING R  BUILDING 9"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30627";"TÓQUIO";1;1811;2;"Agregada";1776;1023;"ARIAKE CENTRAL TOWER";1;"Convencional";"135-0063, TOKYO-TO, KOTO-KU, ARIAKE 3-7-18,  3O E 4O ANDAR";"CENTRO";"01690072";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";331;0;0;0;1228;"ARIAKE CENTRAL TOWER";"135-0063, TOKYO-TO, KOTO-KU, ARIAKE 3-7-18,  3O E 4O ANDAR"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29416";"BOSTON";1;919;2;"Agregada";860;1023;"SALEMWOOD SCHOOL";1;"Convencional";"529 SALEM ST, MALDEN, MA 02148";"CENTRO";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";398;0;0;0;1023;"SALEMWOOD SCHOOL";"529 SALEM ST, MALDEN, MA 02148"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"29700";"GENEBRA";1;1928;2;"Agregada";1911;1015;"PALEXPO";1;"Convencional";"ROUTE FRANÇOIS-PEYROT 30 (1218) LE GRAND-SACONNEX, GENEVE";"SUÍÇA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";397;0;0;0;1015;"PALEXPO";"ROUTE FRANÇOIS-PEYROT 30 (1218) LE GRAND-SACONNEX, GENEVE"
"13/08/2026";"06:29:08";2026;"04/10/2026";"1º Turno";1;"ZZ";"30562";"SYDNEY";1;3843;2;"Agregada";1375;1015;"CONSULADO-GERAL DO BRASIL EM SYDNEY";1;"Convencional";"45 CLARENCE ST SYDNEY 2000";"AUSTRALIA";"11111111";"-1";"-1";"-1";1;"ATIVO";-1;"ATIVO";1;"ATIVO";1;"Ativo";"1";"Com acessibilidade";399;0;0;0;1015;"CONSULADO-GERAL DO BRASIL EM SYDNEY";"45 CLARENCE ST SYDNEY 2000"
